time,open,high,low,close,tick_volume
2025-01-01 22:00:00,1.03521,1.03574,1.035,1.03567,537
2025-01-01 23:00:00,1.03565,1.03569,1.03466,1.03512,1156
2025-01-02 00:00:00,1.03512,1.03565,1.03475,1.03523,1249
2025-01-02 01:00:00,1.03523,1.0360800000000001,1.03439,1.03578,2439
2025-01-02 02:00:00,1.03578,1.03713,1.03576,1.03709,1111
2025-01-02 03:00:00,1.03711,1.03741,1.03681,1.03715,972
2025-01-02 04:00:00,1.03716,1.03755,1.03666,1.03692,904
2025-01-02 05:00:00,1.03692,1.03708,1.0362,1.03641,906
2025-01-02 06:00:00,1.03641,1.03653,1.03599,1.0364,1351
2025-01-02 07:00:00,1.03638,1.03725,1.03624,1.03628,2250
2025-01-02 08:00:00,1.0363,1.03709,1.03462,1.03627,3577
2025-01-02 09:00:00,1.03629,1.03705,1.03496,1.03519,2804
2025-01-02 10:00:00,1.03518,1.0357,1.03136,1.03171,4760
2025-01-02 11:00:00,1.03168,1.03343,1.03151,1.03322,3264
2025-01-02 12:00:00,1.03322,1.03343,1.03146,1.03186,3144
2025-01-02 13:00:00,1.03185,1.03297,1.03113,1.03135,5161
2025-01-02 14:00:00,1.03136,1.03238,1.03022,1.03049,4396
2025-01-02 15:00:00,1.0304,1.03089,1.02725,1.02743,6299
2025-01-02 16:00:00,1.02742,1.02765,1.02241,1.0261,11212
2025-01-02 17:00:00,1.02609,1.02681,1.02514,1.02649,4165
2025-01-02 18:00:00,1.02651,1.02664,1.0256,1.02564,2422
2025-01-02 19:00:00,1.02565,1.02597,1.0248,1.02514,2168
2025-01-02 20:00:00,1.02513,1.02645,1.02508,1.02614,1547
2025-01-02 21:00:00,1.02613,1.02688,1.02613,1.02659,808
2025-01-02 22:00:00,1.0266,1.02668,1.02604,1.02657,908
2025-01-02 23:00:00,1.02658,1.02682,1.02649,1.02681,579
2025-01-03 00:00:00,1.0268,1.02735,1.02657,1.02729,865
2025-01-03 01:00:00,1.02728,1.02728,1.02667,1.02677,1156
2025-01-03 02:00:00,1.02676,1.02747,1.02668,1.02722,1098
2025-01-03 03:00:00,1.02722,1.02745,1.02689,1.0271,851
2025-01-03 04:00:00,1.0271,1.02712,1.02672,1.02699,720
2025-01-03 05:00:00,1.02699,1.02736,1.02647,1.02718,987
2025-01-03 06:00:00,1.02718,1.02793,1.02716,1.02792,923
2025-01-03 07:00:00,1.0279,1.02849,1.02689,1.02809,3314
2025-01-03 08:00:00,1.02809,1.0288,1.02728,1.02803,2920
2025-01-03 09:00:00,1.02803,1.03,1.02802,1.02904,2873
2025-01-03 10:00:00,1.02904,1.02938,1.02792,1.02812,2077
2025-01-03 11:00:00,1.02814,1.02999,1.02813,1.02996,1565
2025-01-03 12:00:00,1.02984,1.03008,1.02952,1.02955,509
2025-01-03 13:00:00,1.02957,1.03004,1.02915,1.02932,2616
2025-01-03 14:00:00,1.02931,1.03024,1.0288,1.03003,2871
2025-01-03 15:00:00,1.03001,1.03059,1.02731,1.02891,5523
2025-01-03 16:00:00,1.02892,1.03001,1.02836,1.0291,2814
2025-01-03 17:00:00,1.02911,1.0306,1.02909,1.0298,2530
2025-01-03 18:00:00,1.0298,1.03023,1.02926,1.02972,1769
2025-01-03 19:00:00,1.0297,1.03061,1.0294,1.03011,1454
2025-01-03 20:00:00,1.0301,1.03076,1.02989,1.03057,1473
2025-01-03 21:00:00,1.03058,1.03099,1.03046,1.03088,787
2025-01-05 22:00:00,1.03055,1.03071,1.02985,1.03024,424
2025-01-05 23:00:00,1.03023,1.0308,1.03018,1.03051,915
2025-01-06 00:00:00,1.03051,1.03053,1.02958,1.0303,1481
2025-01-06 01:00:00,1.0303,1.03135,1.03013,1.03121,1661
2025-01-06 02:00:00,1.03121,1.03176,1.03107,1.0316,1356
2025-01-06 03:00:00,1.0316,1.03183,1.03132,1.03165,973
2025-01-06 04:00:00,1.03165,1.03177,1.03128,1.03152,751
2025-01-06 05:00:00,1.03152,1.03183,1.03086,1.03089,1211
2025-01-06 06:00:00,1.03091,1.03165,1.03078,1.03129,1377
2025-01-06 07:00:00,1.03129,1.03283,1.03099,1.03271,2221
2025-01-06 08:00:00,1.03273,1.03525,1.03264,1.03501,3827
2025-01-06 09:00:00,1.035,1.03691,1.03403,1.03555,5930
2025-01-06 10:00:00,1.03557,1.03582,1.03351,1.03354,2716
2025-01-06 11:00:00,1.03353,1.04329,1.03288,1.04217,12041
2025-01-06 12:00:00,1.04214,1.04305,1.03921,1.04109,5742
2025-01-06 13:00:00,1.04111,1.04368,1.04046,1.04168,6565
2025-01-06 14:00:00,1.0417,1.04238,1.03524,1.03924,14211
2025-01-06 15:00:00,1.03925,1.03989,1.03714,1.03935,7481
2025-01-06 16:00:00,1.03936,1.04029,1.03854,1.0397,4392
2025-01-06 17:00:00,1.0397,1.0397,1.03794,1.03873,2628
2025-01-06 18:00:00,1.03873,1.03892,1.03772,1.03821,2624
2025-01-06 19:00:00,1.03821,1.03918,1.03791,1.03882,2173
2025-01-06 20:00:00,1.03884,1.03921,1.03859,1.0388,1536
2025-01-06 21:00:00,1.03882,1.03923,1.03863,1.03886,805
2025-01-06 22:00:00,1.03885,1.03899,1.03873,1.03892,905
